#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             27              1           CoII        63430.0   9.062815e+04   7.864115e+00              4
             27              2          CoIII       137795.0   1.968801e+05   1.708396e+01              4
             27              3           CoIV       270200.0   3.860591e+05   3.349967e+01              3
             27              4            CoV       413500.0   5.908047e+05   5.126614e+01              3
             27              5           CoVI       641000.0   9.158544e+05   7.947182e+01              3
             27              6          CoVII       823000.0   1.175894e+06   1.020364e+02              3
             27              7         CoVIII      1040000.0   1.485942e+06   1.289402e+02              3
             27              8           CoIX      1273000.0   1.818850e+06   1.578278e+02              3
             27              9            CoX      1501300.0   2.145042e+06   1.861327e+02              3
             27             10           CoXI      2221000.0   3.173343e+06   2.753618e+02              3
             27             11          CoXII      2460000.0   3.514823e+06   3.049933e+02              3
             27             12         CoXIII      2710000.0   3.872021e+06   3.359885e+02              3
             27             13          CoXIV      3057000.0   4.367811e+06   3.790099e+02              3
             27             14           CoXV      3315000.0   4.736439e+06   4.109970e+02              3
             27             15          CoXVI      3580000.0   5.115068e+06   4.438520e+02              3
             27             16         CoXVII      4129200.0   5.899760e+06   5.119423e+02              3
             27             17        CoXVIII      4408500.0   6.298821e+06   5.465702e+02              3
             27             18          CoXIX     11269000.0   1.610103e+07   1.397142e+03              2
             27             19           CoXX     12135000.0   1.733837e+07   1.504509e+03              2
             27             20          CoXXI     12930000.0   1.847425e+07   1.603074e+03              2
             27             21         CoXXII     13990000.0   1.998877e+07   1.734494e+03              2
             27             22        CoXXIII     14890000.0   2.127468e+07   1.846077e+03              2
             27             23         CoXXIV     15820000.0   2.260346e+07   1.961379e+03              2
             27             24          CoXXV     17090000.0   2.441802e+07   2.118835e+03              2
             27             25         CoXXVI     17897000.0   2.557105e+07   2.218888e+03              2
             27             26        CoXXVII     76979000.0   1.099868e+08   9.543933e+03              1
             27             27       CoXXVIII     80753200.0   1.153794e+08   1.001186e+04              1
             28              1           NiII        61600.0   8.801346e+04   7.637230e+00              4
             28              2          NiIII      146541.56   2.093771e+05   1.816837e+01              4
             28              3           NiIV       283800.0   4.054906e+05   3.518581e+01              3
             28              4            NiV       443000.0   6.329540e+05   5.492358e+01              3
             28              5           NiVI       613500.0   8.765627e+05   7.606234e+01              3
             28              6          NiVII       870000.0   1.243047e+06   1.078635e+02              3
             28              7         NiVIII      1070000.0   1.528805e+06   1.326597e+02              3
             28              8           NiIX      1310000.0   1.871715e+06   1.624151e+02              3
